Price,Close,High,Low,Open,Volume,Date
2025-12-30 09:30:00+00:00,48755.0,48755.0,48753.0,48753.0,4,2025-12-30
2025-12-30 09:31:00+00:00,48755.0,48757.0,48753.0,48753.0,8,2025-12-30
2025-12-30 09:32:00+00:00,48757.0,48757.0,48757.0,48757.0,1,2025-12-30
2025-12-30 09:33:00+00:00,48755.0,48757.0,48755.0,48757.0,2,2025-12-30
2025-12-30 09:34:00+00:00,48756.0,48757.0,48755.0,48757.0,4,2025-12-30
2025-12-30 09:35:00+00:00,48757.0,48758.0,48755.0,48756.0,16,2025-12-30
2025-12-30 09:36:00+00:00,48756.0,48758.0,48756.0,48757.0,8,2025-12-30
2025-12-30 09:37:00+00:00,48752.0,48757.0,48751.0,48757.0,23,2025-12-30
2025-12-30 09:38:00+00:00,48754.0,48754.0,48750.0,48752.0,9,2025-12-30
2025-12-30 09:39:00+00:00,48752.0,48752.0,48752.0,48752.0,1,2025-12-30
2025-12-30 09:40:00+00:00,48748.0,48751.0,48748.0,48751.0,6,2025-12-30
2025-12-30 09:41:00+00:00,48747.0,48747.0,48746.0,48746.0,5,2025-12-30
2025-12-30 09:42:00+00:00,48747.0,48749.0,48747.0,48749.0,5,2025-12-30
2025-12-30 09:43:00+00:00,48745.0,48748.0,48744.0,48747.0,7,2025-12-30
2025-12-30 09:44:00+00:00,48744.0,48745.0,48741.0,48745.0,11,2025-12-30
2025-12-30 09:45:00+00:00,48742.0,48743.0,48742.0,48743.0,5,2025-12-30
2025-12-30 09:46:00+00:00,48740.0,48743.0,48739.0,48743.0,3,2025-12-30
2025-12-30 09:47:00+00:00,48741.0,48741.0,48741.0,48741.0,1,2025-12-30
2025-12-30 09:48:00+00:00,48742.0,48743.0,48741.0,48742.0,12,2025-12-30
2025-12-30 09:49:00+00:00,48741.0,48741.0,48741.0,48741.0,2,2025-12-30
2025-12-30 09:50:00+00:00,48745.0,48745.0,48744.0,48744.0,3,2025-12-30
2025-12-30 09:51:00+00:00,48741.0,48744.0,48739.0,48743.0,8,2025-12-30
2025-12-30 09:52:00+00:00,48747.0,48747.0,48742.0,48743.0,11,2025-12-30
2025-12-30 09:53:00+00:00,48745.0,48745.0,48745.0,48745.0,1,2025-12-30
2025-12-30 09:54:00+00:00,48747.0,48747.0,48745.0,48745.0,6,2025-12-30
2025-12-30 09:55:00+00:00,48745.0,48746.0,48745.0,48746.0,4,2025-12-30
2025-12-30 09:56:00+00:00,48747.0,48748.0,48747.0,48747.0,5,2025-12-30
2025-12-30 09:57:00+00:00,48749.0,48753.0,48749.0,48752.0,5,2025-12-30
2025-12-30 09:58:00+00:00,48751.0,48751.0,48749.0,48749.0,2,2025-12-30
2025-12-30 09:59:00+00:00,48752.0,48752.0,48752.0,48752.0,1,2025-12-30
2025-12-30 10:00:00+00:00,48760.0,48760.0,48753.0,48753.0,8,2025-12-30
