date,baseline_pl,experiment_pl,baseline_trades,experiment_trades,blocked,day_type,first_trade_holds
2024-07-24,222.0,295.0,7,2,4,CHOP,4
2024-07-25,380.0,137.0,5,3,0,CHOP,0
2024-07-26,-54.0,93.0,5,1,4,CHOP,4
2024-07-29,0.0,0.0,1,0,0,CHOP,0
2024-07-30,279.0,94.0,4,2,0,CHOP,0
2024-07-31,301.0,7.0,4,2,0,CHOP,0
2024-08-01,355.0,97.0,5,3,2,CHOP,2
2024-08-02,82.0,167.0,6,2,0,CHOP,0
2024-08-05,-41.0,-5.0,3,1,2,CHOP,2
2024-08-06,235.0,101.0,3,3,2,CHOP,2
2024-08-07,176.0,69.0,4,1,0,CHOP,0
2024-08-08,2.0,65.0,3,1,2,CHOP,2
2024-08-09,-248.0,-436.0,2,2,0,CHOP,0
2024-08-12,151.0,24.0,2,1,0,CHOP,0
2024-08-13,-508.0,-434.0,5,2,0,CHOP,0
2024-08-14,-448.0,-8.0,3,1,0,CHOP,0
2024-08-15,252.0,201.0,2,2,0,CHOP,0
2024-08-16,-626.0,-336.0,6,3,0,CHOP,0
2024-08-19,88.0,-26.0,2,1,0,CHOP,0
2024-08-20,-228.0,0.0,2,0,0,CHOP,0
2024-08-21,-440.0,14.0,4,1,0,CHOP,0
2024-08-22,232.0,100.0,3,1,2,CHOP,0
2024-08-23,-686.0,1.0,5,3,0,CHOP,0
2024-08-26,9.0,74.0,2,1,0,CHOP,0
2024-08-27,-222.0,-8.0,2,1,0,CHOP,0
2024-08-28,57.0,3.0,2,1,0,CHOP,0
2024-08-29,-619.0,-494.0,4,1,0,CHOP,0
2024-08-30,-115.0,-76.0,3,1,0,CHOP,0
2024-09-02,-74.0,10.0,4,1,0,CHOP,0
2024-09-03,-106.0,56.0,2,1,0,TREND,0
2024-09-04,-128.0,16.0,2,1,0,CHOP,0
2024-09-05,106.0,0.0,2,0,0,CHOP,0
2024-09-06,63.0,101.0,1,1,0,CHOP,0
2024-09-09,61.0,110.0,1,1,0,CHOP,0
2024-09-10,65.0,114.0,1,1,0,CHOP,0
2024-09-11,-1326.0,43.0,9,3,6,CHOP,6
2024-09-12,-59.0,72.0,2,1,0,CHOP,0
2024-09-13,56.0,102.0,1,1,0,CHOP,0
2024-09-16,-324.0,-384.0,2,1,0,CHOP,0
2024-09-17,-516.0,-242.0,3,2,0,CHOP,0
2024-09-18,43.0,-72.0,3,1,0,CHOP,0
2024-09-19,-217.0,-34.0,3,1,0,CHOP,0
2024-09-23,5.0,-176.0,2,1,2,CHOP,2
2024-09-24,-558.0,-44.0,3,1,0,CHOP,0
2024-09-25,-123.0,115.0,4,1,2,CHOP,0
2024-09-26,-412.0,40.0,4,1,2,CHOP,2
2024-09-27,60.0,105.0,1,1,0,CHOP,0
2024-09-30,153.0,0.0,4,0,2,CHOP,0
2024-10-01,-610.0,58.0,2,1,0,CHOP,0
2024-10-02,55.0,0.0,1,0,0,CHOP,0
2024-10-03,-108.0,-529.0,2,2,0,CHOP,0
2024-10-04,-109.0,102.0,2,1,0,CHOP,0
2024-10-07,-11.0,27.0,2,1,0,CHOP,0
2024-10-08,52.0,0.0,1,0,0,CHOP,0
2024-10-09,96.0,-15.0,3,1,2,CHOP,2
2024-10-10,0.0,0.0,1,0,0,CHOP,0
2024-10-11,54.0,99.0,1,1,0,CHOP,0
2024-10-14,198.0,70.0,5,1,0,CHOP,0
2024-10-15,-70.0,-230.0,4,1,3,CHOP,2
2024-10-16,51.0,51.0,1,1,0,CHOP,0
2024-10-17,-30.0,-16.0,2,1,0,CHOP,0
2024-10-18,-357.0,-106.0,2,1,0,CHOP,0
2024-10-21,-32.0,50.0,3,1,0,CHOP,0
2024-10-22,-39.0,-70.0,4,2,0,CHOP,0
2024-10-23,35.0,42.0,2,1,0,CHOP,0
