Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-02 09:30:00-05:00,48453.0,48551.0,48432.0,48514.0,3221,0.0,0.0
2026-03-02 09:31:00-05:00,48515.0,48544.0,48462.0,48500.0,1956,0.0,0.0
2026-03-02 09:32:00-05:00,48499.0,48546.0,48479.0,48505.0,1494,0.0,0.0
2026-03-02 09:33:00-05:00,48506.0,48552.0,48493.0,48535.0,1215,0.0,0.0
2026-03-02 09:34:00-05:00,48530.0,48569.0,48528.0,48557.0,955,0.0,0.0
2026-03-02 09:35:00-05:00,48558.0,48596.0,48518.0,48583.0,951,0.0,0.0
2026-03-02 09:36:00-05:00,48582.0,48619.0,48562.0,48582.0,823,0.0,0.0
2026-03-02 09:37:00-05:00,48586.0,48669.0,48585.0,48634.0,866,0.0,0.0
2026-03-02 09:38:00-05:00,48634.0,48637.0,48568.0,48603.0,785,0.0,0.0
2026-03-02 09:39:00-05:00,48605.0,48616.0,48565.0,48584.0,785,0.0,0.0
2026-03-02 09:40:00-05:00,48583.0,48616.0,48565.0,48579.0,460,0.0,0.0
2026-03-02 09:41:00-05:00,48576.0,48639.0,48574.0,48601.0,422,0.0,0.0
2026-03-02 09:42:00-05:00,48599.0,48655.0,48599.0,48626.0,468,0.0,0.0
2026-03-02 09:43:00-05:00,48628.0,48632.0,48585.0,48590.0,521,0.0,0.0
2026-03-02 09:44:00-05:00,48589.0,48656.0,48589.0,48650.0,292,0.0,0.0
2026-03-02 09:45:00-05:00,48647.0,48719.0,48627.0,48704.0,703,0.0,0.0
2026-03-02 09:46:00-05:00,48707.0,48745.0,48692.0,48716.0,811,0.0,0.0
2026-03-02 09:47:00-05:00,48714.0,48763.0,48709.0,48733.0,555,0.0,0.0
2026-03-02 09:48:00-05:00,48736.0,48740.0,48702.0,48724.0,694,0.0,0.0
2026-03-02 09:49:00-05:00,48722.0,48731.0,48692.0,48720.0,457,0.0,0.0
2026-03-02 09:50:00-05:00,48721.0,48743.0,48707.0,48726.0,666,0.0,0.0
2026-03-02 09:51:00-05:00,48728.0,48751.0,48698.0,48720.0,630,0.0,0.0
2026-03-02 09:52:00-05:00,48715.0,48715.0,48662.0,48693.0,712,0.0,0.0
2026-03-02 09:53:00-05:00,48689.0,48714.0,48675.0,48694.0,504,0.0,0.0
2026-03-02 09:54:00-05:00,48693.0,48726.0,48693.0,48712.0,437,0.0,0.0
2026-03-02 09:55:00-05:00,48708.0,48717.0,48674.0,48676.0,520,0.0,0.0
2026-03-02 09:56:00-05:00,48675.0,48689.0,48647.0,48672.0,528,0.0,0.0
2026-03-02 09:57:00-05:00,48672.0,48704.0,48641.0,48701.0,391,0.0,0.0
2026-03-02 09:58:00-05:00,48696.0,48736.0,48681.0,48711.0,259,0.0,0.0
2026-03-02 09:59:00-05:00,48709.0,48735.0,48695.0,48726.0,119,0.0,0.0
2026-03-02 10:00:00-05:00,48726.0,48741.0,48685.0,48691.0,436,0.0,0.0
