Price,Close,High,Low,Open,Volume,Date
2026-01-05 09:30:00+00:00,48619.0,48620.0,48614.0,48618.0,27,2026-01-05
2026-01-05 09:31:00+00:00,48618.0,48618.0,48612.0,48613.0,30,2026-01-05
2026-01-05 09:32:00+00:00,48611.0,48622.0,48609.0,48619.0,37,2026-01-05
2026-01-05 09:33:00+00:00,48612.0,48612.0,48608.0,48612.0,17,2026-01-05
2026-01-05 09:34:00+00:00,48616.0,48616.0,48611.0,48613.0,9,2026-01-05
2026-01-05 09:35:00+00:00,48620.0,48620.0,48615.0,48617.0,6,2026-01-05
2026-01-05 09:36:00+00:00,48618.0,48621.0,48617.0,48617.0,6,2026-01-05
2026-01-05 09:37:00+00:00,48625.0,48625.0,48615.0,48617.0,8,2026-01-05
2026-01-05 09:38:00+00:00,48628.0,48628.0,48623.0,48624.0,11,2026-01-05
2026-01-05 09:39:00+00:00,48630.0,48630.0,48627.0,48629.0,9,2026-01-05
2026-01-05 09:40:00+00:00,48641.0,48641.0,48632.0,48632.0,22,2026-01-05
2026-01-05 09:41:00+00:00,48641.0,48641.0,48640.0,48640.0,2,2026-01-05
2026-01-05 09:42:00+00:00,48641.0,48641.0,48641.0,48641.0,3,2026-01-05
2026-01-05 09:43:00+00:00,48634.0,48636.0,48632.0,48635.0,13,2026-01-05
2026-01-05 09:44:00+00:00,48641.0,48641.0,48634.0,48634.0,11,2026-01-05
2026-01-05 09:45:00+00:00,48640.0,48644.0,48640.0,48642.0,15,2026-01-05
2026-01-05 09:46:00+00:00,48644.0,48644.0,48640.0,48640.0,5,2026-01-05
2026-01-05 09:47:00+00:00,48649.0,48652.0,48644.0,48644.0,14,2026-01-05
2026-01-05 09:48:00+00:00,48644.0,48648.0,48644.0,48647.0,13,2026-01-05
2026-01-05 09:49:00+00:00,48638.0,48640.0,48638.0,48639.0,11,2026-01-05
2026-01-05 09:50:00+00:00,48649.0,48649.0,48640.0,48640.0,22,2026-01-05
2026-01-05 09:51:00+00:00,48649.0,48653.0,48648.0,48650.0,18,2026-01-05
2026-01-05 09:52:00+00:00,48648.0,48649.0,48646.0,48648.0,6,2026-01-05
2026-01-05 09:53:00+00:00,48647.0,48648.0,48644.0,48648.0,8,2026-01-05
2026-01-05 09:54:00+00:00,48644.0,48647.0,48643.0,48647.0,7,2026-01-05
2026-01-05 09:55:00+00:00,48636.0,48640.0,48636.0,48640.0,8,2026-01-05
2026-01-05 09:56:00+00:00,48629.0,48632.0,48629.0,48632.0,18,2026-01-05
2026-01-05 09:57:00+00:00,48631.0,48632.0,48629.0,48629.0,10,2026-01-05
2026-01-05 09:58:00+00:00,48627.0,48630.0,48626.0,48629.0,7,2026-01-05
2026-01-05 09:59:00+00:00,48629.0,48630.0,48629.0,48630.0,7,2026-01-05
2026-01-05 10:00:00+00:00,48636.0,48640.0,48631.0,48631.0,15,2026-01-05
