Price,Close,High,Low,Open,Volume,Date
2025-12-31 09:30:00+00:00,48589.0,48590.0,48588.0,48589.0,7,2025-12-31
2025-12-31 09:31:00+00:00,48590.0,48590.0,48589.0,48589.0,4,2025-12-31
2025-12-31 09:32:00+00:00,48590.0,48591.0,48589.0,48590.0,7,2025-12-31
2025-12-31 09:33:00+00:00,48593.0,48593.0,48591.0,48593.0,3,2025-12-31
2025-12-31 09:34:00+00:00,48591.0,48593.0,48589.0,48593.0,5,2025-12-31
2025-12-31 09:35:00+00:00,48594.0,48595.0,48592.0,48594.0,14,2025-12-31
2025-12-31 09:36:00+00:00,48596.0,48598.0,48594.0,48595.0,13,2025-12-31
2025-12-31 09:37:00+00:00,48595.0,48596.0,48595.0,48596.0,4,2025-12-31
2025-12-31 09:38:00+00:00,48595.0,48595.0,48593.0,48594.0,6,2025-12-31
2025-12-31 09:39:00+00:00,48597.0,48597.0,48595.0,48597.0,4,2025-12-31
2025-12-31 09:40:00+00:00,48594.0,48596.0,48593.0,48596.0,11,2025-12-31
2025-12-31 09:41:00+00:00,48594.0,48595.0,48594.0,48595.0,4,2025-12-31
2025-12-31 09:42:00+00:00,48595.0,48595.0,48594.0,48595.0,4,2025-12-31
2025-12-31 09:43:00+00:00,48590.0,48592.0,48589.0,48592.0,11,2025-12-31
2025-12-31 09:44:00+00:00,48590.0,48591.0,48590.0,48591.0,2,2025-12-31
2025-12-31 09:45:00+00:00,48586.0,48590.0,48586.0,48590.0,16,2025-12-31
2025-12-31 09:46:00+00:00,48587.0,48590.0,48587.0,48587.0,11,2025-12-31
2025-12-31 09:47:00+00:00,48584.0,48586.0,48584.0,48586.0,4,2025-12-31
2025-12-31 09:48:00+00:00,48584.0,48585.0,48584.0,48585.0,7,2025-12-31
2025-12-31 09:49:00+00:00,48581.0,48583.0,48581.0,48583.0,3,2025-12-31
2025-12-31 09:50:00+00:00,48578.0,48581.0,48578.0,48581.0,7,2025-12-31
2025-12-31 09:51:00+00:00,48580.0,48580.0,48579.0,48579.0,6,2025-12-31
2025-12-31 09:52:00+00:00,48578.0,48578.0,48575.0,48575.0,6,2025-12-31
2025-12-31 09:53:00+00:00,48578.0,48579.0,48577.0,48579.0,8,2025-12-31
2025-12-31 09:54:00+00:00,48580.0,48581.0,48578.0,48579.0,6,2025-12-31
2025-12-31 09:55:00+00:00,48581.0,48581.0,48581.0,48581.0,3,2025-12-31
2025-12-31 09:56:00+00:00,48581.0,48584.0,48581.0,48583.0,11,2025-12-31
2025-12-31 09:57:00+00:00,48579.0,48582.0,48577.0,48582.0,9,2025-12-31
2025-12-31 09:58:00+00:00,48579.0,48581.0,48579.0,48581.0,4,2025-12-31
2025-12-31 09:59:00+00:00,48576.0,48576.0,48576.0,48576.0,2,2025-12-31
2025-12-31 10:00:00+00:00,48577.0,48578.0,48575.0,48578.0,8,2025-12-31
