Price,Close,High,Low,Open,Volume,Date
2026-01-21 09:30:00+00:00,48755.0,48760.0,48754.0,48759.0,28,2026-01-21
2026-01-21 09:31:00+00:00,48750.0,48752.0,48746.0,48752.0,25,2026-01-21
2026-01-21 09:32:00+00:00,48748.0,48749.0,48746.0,48749.0,21,2026-01-21
2026-01-21 09:33:00+00:00,48748.0,48749.0,48744.0,48748.0,21,2026-01-21
2026-01-21 09:34:00+00:00,48749.0,48750.0,48747.0,48747.0,15,2026-01-21
2026-01-21 09:35:00+00:00,48750.0,48750.0,48745.0,48749.0,28,2026-01-21
2026-01-21 09:36:00+00:00,48747.0,48751.0,48747.0,48751.0,14,2026-01-21
2026-01-21 09:37:00+00:00,48745.0,48749.0,48740.0,48746.0,45,2026-01-21
2026-01-21 09:38:00+00:00,48757.0,48757.0,48746.0,48746.0,14,2026-01-21
2026-01-21 09:39:00+00:00,48751.0,48755.0,48750.0,48753.0,13,2026-01-21
2026-01-21 09:40:00+00:00,48757.0,48758.0,48753.0,48753.0,12,2026-01-21
2026-01-21 09:41:00+00:00,48752.0,48758.0,48752.0,48758.0,14,2026-01-21
2026-01-21 09:42:00+00:00,48750.0,48752.0,48750.0,48751.0,6,2026-01-21
2026-01-21 09:43:00+00:00,48744.0,48753.0,48744.0,48753.0,19,2026-01-21
2026-01-21 09:44:00+00:00,48742.0,48747.0,48742.0,48743.0,43,2026-01-21
2026-01-21 09:45:00+00:00,48738.0,48745.0,48736.0,48741.0,48,2026-01-21
2026-01-21 09:46:00+00:00,48726.0,48735.0,48724.0,48735.0,51,2026-01-21
2026-01-21 09:47:00+00:00,48723.0,48732.0,48723.0,48724.0,28,2026-01-21
2026-01-21 09:48:00+00:00,48712.0,48724.0,48704.0,48721.0,175,2026-01-21
2026-01-21 09:49:00+00:00,48719.0,48722.0,48710.0,48714.0,47,2026-01-21
2026-01-21 09:50:00+00:00,48712.0,48721.0,48711.0,48718.0,26,2026-01-21
2026-01-21 09:51:00+00:00,48710.0,48712.0,48709.0,48710.0,24,2026-01-21
2026-01-21 09:52:00+00:00,48715.0,48715.0,48711.0,48711.0,33,2026-01-21
2026-01-21 09:53:00+00:00,48713.0,48714.0,48709.0,48712.0,33,2026-01-21
2026-01-21 09:54:00+00:00,48700.0,48710.0,48700.0,48710.0,80,2026-01-21
2026-01-21 09:55:00+00:00,48703.0,48704.0,48697.0,48700.0,72,2026-01-21
2026-01-21 09:56:00+00:00,48688.0,48700.0,48686.0,48700.0,34,2026-01-21
2026-01-21 09:57:00+00:00,48693.0,48696.0,48685.0,48688.0,78,2026-01-21
2026-01-21 09:58:00+00:00,48686.0,48693.0,48683.0,48691.0,25,2026-01-21
2026-01-21 09:59:00+00:00,48683.0,48688.0,48680.0,48688.0,50,2026-01-21
2026-01-21 10:00:00+00:00,48677.0,48688.0,48676.0,48685.0,39,2026-01-21
