Price,Close,High,Low,Open,Volume,Date
2025-12-23 09:30:00+00:00,48710.0,48710.0,48704.0,48704.0,11,2025-12-23
2025-12-23 09:31:00+00:00,48709.0,48713.0,48708.0,48711.0,29,2025-12-23
2025-12-23 09:32:00+00:00,48708.0,48708.0,48707.0,48708.0,4,2025-12-23
2025-12-23 09:33:00+00:00,48706.0,48708.0,48706.0,48708.0,9,2025-12-23
2025-12-23 09:34:00+00:00,48709.0,48709.0,48707.0,48707.0,3,2025-12-23
2025-12-23 09:35:00+00:00,48708.0,48709.0,48707.0,48709.0,5,2025-12-23
2025-12-23 09:36:00+00:00,48709.0,48709.0,48707.0,48707.0,2,2025-12-23
2025-12-23 09:37:00+00:00,48710.0,48711.0,48710.0,48711.0,3,2025-12-23
2025-12-23 09:38:00+00:00,48707.0,48710.0,48707.0,48710.0,4,2025-12-23
2025-12-23 09:39:00+00:00,48711.0,48711.0,48708.0,48708.0,3,2025-12-23
2025-12-23 09:40:00+00:00,48711.0,48711.0,48709.0,48709.0,3,2025-12-23
2025-12-23 09:41:00+00:00,48713.0,48713.0,48711.0,48713.0,6,2025-12-23
2025-12-23 09:42:00+00:00,48716.0,48718.0,48713.0,48713.0,21,2025-12-23
2025-12-23 09:44:00+00:00,48713.0,48714.0,48713.0,48714.0,3,2025-12-23
2025-12-23 09:45:00+00:00,48711.0,48717.0,48711.0,48717.0,11,2025-12-23
2025-12-23 09:46:00+00:00,48709.0,48710.0,48709.0,48710.0,2,2025-12-23
2025-12-23 09:47:00+00:00,48714.0,48714.0,48707.0,48709.0,10,2025-12-23
2025-12-23 09:48:00+00:00,48711.0,48712.0,48711.0,48712.0,3,2025-12-23
2025-12-23 09:49:00+00:00,48711.0,48711.0,48709.0,48709.0,3,2025-12-23
2025-12-23 09:50:00+00:00,48711.0,48712.0,48711.0,48712.0,6,2025-12-23
2025-12-23 09:51:00+00:00,48710.0,48710.0,48709.0,48710.0,5,2025-12-23
2025-12-23 09:52:00+00:00,48712.0,48712.0,48711.0,48711.0,7,2025-12-23
2025-12-23 09:53:00+00:00,48711.0,48712.0,48711.0,48712.0,5,2025-12-23
2025-12-23 09:54:00+00:00,48712.0,48712.0,48710.0,48711.0,7,2025-12-23
2025-12-23 09:55:00+00:00,48716.0,48716.0,48714.0,48714.0,13,2025-12-23
2025-12-23 09:56:00+00:00,48715.0,48715.0,48715.0,48715.0,3,2025-12-23
2025-12-23 09:57:00+00:00,48715.0,48716.0,48714.0,48715.0,13,2025-12-23
2025-12-23 09:58:00+00:00,48715.0,48716.0,48714.0,48714.0,13,2025-12-23
2025-12-23 09:59:00+00:00,48716.0,48716.0,48713.0,48713.0,7,2025-12-23
2025-12-23 10:00:00+00:00,48717.0,48720.0,48715.0,48716.0,19,2025-12-23
