Price,Close,High,Low,Open,Volume,Date
2026-01-09 09:30:00+00:00,49489.0,49490.0,49480.0,49480.0,27,2026-01-12
2026-01-09 09:31:00+00:00,49494.0,49495.0,49490.0,49490.0,27,2026-01-12
2026-01-09 09:32:00+00:00,49501.0,49501.0,49497.0,49497.0,17,2026-01-12
2026-01-09 09:33:00+00:00,49497.0,49503.0,49497.0,49502.0,10,2026-01-12
2026-01-09 09:34:00+00:00,49497.0,49497.0,49494.0,49496.0,18,2026-01-12
2026-01-09 09:35:00+00:00,49492.0,49497.0,49492.0,49497.0,8,2026-01-12
2026-01-09 09:36:00+00:00,49495.0,49495.0,49490.0,49494.0,36,2026-01-12
2026-01-09 09:37:00+00:00,49493.0,49493.0,49491.0,49493.0,15,2026-01-12
2026-01-09 09:38:00+00:00,49497.0,49497.0,49496.0,49497.0,8,2026-01-12
2026-01-09 09:39:00+00:00,49496.0,49500.0,49496.0,49498.0,11,2026-01-12
2026-01-09 09:40:00+00:00,49494.0,49496.0,49490.0,49495.0,24,2026-01-12
2026-01-09 09:41:00+00:00,49490.0,49496.0,49488.0,49492.0,34,2026-01-12
2026-01-09 09:42:00+00:00,49494.0,49496.0,49488.0,49489.0,16,2026-01-12
2026-01-09 09:43:00+00:00,49490.0,49496.0,49490.0,49496.0,9,2026-01-12
2026-01-09 09:44:00+00:00,49487.0,49487.0,49485.0,49486.0,8,2026-01-12
2026-01-09 09:45:00+00:00,49489.0,49489.0,49485.0,49488.0,21,2026-01-12
2026-01-09 09:46:00+00:00,49494.0,49495.0,49486.0,49489.0,17,2026-01-12
2026-01-09 09:47:00+00:00,49496.0,49498.0,49494.0,49494.0,9,2026-01-12
2026-01-09 09:48:00+00:00,49495.0,49500.0,49495.0,49498.0,9,2026-01-12
2026-01-09 09:49:00+00:00,49493.0,49494.0,49492.0,49494.0,11,2026-01-12
2026-01-09 09:50:00+00:00,49496.0,49497.0,49494.0,49494.0,11,2026-01-12
2026-01-09 09:51:00+00:00,49508.0,49508.0,49496.0,49496.0,87,2026-01-12
2026-01-09 09:52:00+00:00,49504.0,49509.0,49500.0,49508.0,48,2026-01-12
2026-01-09 09:53:00+00:00,49505.0,49505.0,49502.0,49503.0,12,2026-01-12
2026-01-09 09:54:00+00:00,49508.0,49508.0,49506.0,49506.0,21,2026-01-12
2026-01-09 09:55:00+00:00,49509.0,49512.0,49508.0,49508.0,33,2026-01-12
2026-01-09 09:56:00+00:00,49511.0,49511.0,49508.0,49508.0,5,2026-01-12
2026-01-09 09:57:00+00:00,49511.0,49513.0,49510.0,49511.0,18,2026-01-12
2026-01-09 09:58:00+00:00,49513.0,49516.0,49508.0,49509.0,19,2026-01-12
2026-01-09 09:59:00+00:00,49514.0,49515.0,49514.0,49514.0,9,2026-01-12
2026-01-09 10:00:00+00:00,49519.0,49520.0,49516.0,49516.0,14,2026-01-12
