Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-02-19 09:30:00-05:00,49577.0,49624.0,49507.0,49564.0,2761,0.0,0.0
2026-02-19 09:31:00-05:00,49563.0,49584.0,49509.0,49558.0,1466,0.0,0.0
2026-02-19 09:32:00-05:00,49559.0,49576.0,49498.0,49505.0,1275,0.0,0.0
2026-02-19 09:33:00-05:00,49509.0,49523.0,49444.0,49509.0,1307,0.0,0.0
2026-02-19 09:34:00-05:00,49510.0,49550.0,49491.0,49500.0,713,0.0,0.0
2026-02-19 09:35:00-05:00,49501.0,49511.0,49435.0,49443.0,724,0.0,0.0
2026-02-19 09:36:00-05:00,49442.0,49462.0,49403.0,49438.0,971,0.0,0.0
2026-02-19 09:37:00-05:00,49429.0,49459.0,49420.0,49453.0,495,0.0,0.0
2026-02-19 09:38:00-05:00,49456.0,49456.0,49416.0,49449.0,502,0.0,0.0
2026-02-19 09:39:00-05:00,49448.0,49483.0,49448.0,49463.0,294,0.0,0.0
2026-02-19 09:40:00-05:00,49465.0,49478.0,49429.0,49465.0,509,0.0,0.0
2026-02-19 09:41:00-05:00,49463.0,49477.0,49415.0,49416.0,533,0.0,0.0
2026-02-19 09:42:00-05:00,49417.0,49485.0,49417.0,49482.0,398,0.0,0.0
2026-02-19 09:43:00-05:00,49479.0,49525.0,49470.0,49505.0,476,0.0,0.0
2026-02-19 09:44:00-05:00,49506.0,49584.0,49497.0,49581.0,692,0.0,0.0
2026-02-19 09:45:00-05:00,49585.0,49593.0,49487.0,49491.0,779,0.0,0.0
2026-02-19 09:46:00-05:00,49490.0,49538.0,49488.0,49528.0,504,0.0,0.0
2026-02-19 09:47:00-05:00,49533.0,49546.0,49515.0,49539.0,316,0.0,0.0
2026-02-19 09:48:00-05:00,49538.0,49557.0,49491.0,49543.0,438,0.0,0.0
2026-02-19 09:49:00-05:00,49541.0,49547.0,49492.0,49500.0,442,0.0,0.0
2026-02-19 09:50:00-05:00,49498.0,49534.0,49498.0,49503.0,394,0.0,0.0
2026-02-19 09:51:00-05:00,49501.0,49510.0,49489.0,49489.0,300,0.0,0.0
2026-02-19 09:52:00-05:00,49488.0,49539.0,49486.0,49539.0,354,0.0,0.0
2026-02-19 09:53:00-05:00,49537.0,49565.0,49527.0,49561.0,461,0.0,0.0
2026-02-19 09:54:00-05:00,49558.0,49563.0,49540.0,49552.0,322,0.0,0.0
2026-02-19 09:55:00-05:00,49549.0,49601.0,49546.0,49592.0,434,0.0,0.0
2026-02-19 09:56:00-05:00,49591.0,49613.0,49590.0,49606.0,345,0.0,0.0
2026-02-19 09:57:00-05:00,49606.0,49615.0,49585.0,49597.0,238,0.0,0.0
2026-02-19 09:58:00-05:00,49595.0,49598.0,49574.0,49580.0,125,0.0,0.0
2026-02-19 09:59:00-05:00,49580.0,49580.0,49527.0,49545.0,211,0.0,0.0
2026-02-19 10:00:00-05:00,49546.0,49546.0,49504.0,49518.0,249,0.0,0.0
