trial,value,best,win_pct,win_days,lose_days,total_pts,warmup_minutes,steep_angle_threshold,proximity_points,min_entry_angle,partial_tp_pts,wm_shield_distance,swing_anchor_threshold,spike_profit_pts,spike_profit_bars,avg_1000,avg_1100,avg_1200,avg_1300,avg_1400,avg_1500,avg_1600,avg_1700
36,256.9,366.4,66.9,441,218,169301.0,11,82.5,10.0,20.0,75.0,0.0,5.0,50.0,4,22.9,82.0,132.9,167.5,196.3,223.2,246.7,256.9
37,335.4,366.4,75.6,498,161,221030.0,9,77.5,15.0,5.0,50.0,0.0,5.0,50.0,2,45.4,130.9,192.5,234.7,265.4,294.4,324.5,335.4
38,312.6,366.4,78.0,514,145,205987.0,9,77.5,15.0,5.0,25.0,0.0,5.0,50.0,2,45.3,125.8,181.2,217.8,248.1,275.2,301.3,312.6
39,356.1,366.4,75.4,497,162,234658.0,7,77.5,14.0,5.0,50.0,0.0,5.0,50.0,3,52.5,139.3,204.4,249.1,281.2,312.4,344.8,356.1
40,356.1,366.4,75.4,497,162,234658.0,7,77.5,14.0,5.0,50.0,0.0,5.0,50.0,3,52.5,139.3,204.4,249.1,281.2,312.4,344.8,356.1
41,267.9,366.4,68.7,453,206,176558.0,7,72.5,15.0,5.0,75.0,0.0,5.0,50.0,3,33.7,93.1,147.0,182.2,210.2,235.8,259.0,267.9
42,340.1,366.4,75.4,497,162,224118.0,7,77.5,14.0,5.0,50.0,0.0,5.0,50.0,2,50.5,136.1,197.1,239.6,270.1,299.0,329.1,340.1
43,324.5,366.4,75.7,499,160,213815.0,7,77.5,14.0,5.0,50.0,0.0,10.0,50.0,2,52.0,129.1,185.3,225.0,257.2,288.1,315.4,324.5
44,340.8,366.4,76.5,504,155,224592.0,8,75.0,12.0,0.0,50.0,0.0,5.0,50.0,2,49.9,135.6,197.2,239.8,269.8,298.9,329.1,340.8
45,226.9,366.4,70.3,463,196,149548.0,8,75.0,10.0,0.0,50.0,4.0,45.0,50.0,3,57.2,102.7,143.6,163.4,191.3,208.8,223.8,226.9
46,137.9,366.4,61.8,407,252,90901.0,7,72.5,12.0,0.0,75.0,20.0,5.0,50.0,3,34.8,76.2,92.7,99.8,109.7,124.2,133.1,137.9
47,301.1,366.4,75.9,500,159,198452.0,7,65.0,11.0,0.0,50.0,0.0,10.0,75.0,2,47.5,112.6,166.4,203.7,238.8,267.7,292.8,301.1
48,262.5,366.4,71.2,469,190,172961.0,8,70.0,12.0,5.0,75.0,0.0,15.0,175.0,3,40.9,92.1,139.8,174.2,205.3,233.2,260.0,262.5
49,301.5,366.4,71.3,470,189,198673.0,6,75.0,14.0,0.0,50.0,4.0,10.0,50.0,4,56.0,130.5,180.3,210.7,243.9,268.2,293.5,301.5
50,162.6,366.4,59.0,389,270,107124.0,8,80.0,14.0,35.0,100.0,18.0,5.0,75.0,2,31.9,78.4,101.9,114.8,130.2,142.1,155.2,162.6
51,149.5,366.4,58.7,387,272,98503.0,7,60.0,12.0,5.0,125.0,12.0,15.0,50.0,3,15.5,58.3,87.9,101.2,117.6,131.3,146.4,149.5
52,338.5,366.4,75.6,498,161,223072.0,8,77.5,15.0,5.0,50.0,0.0,5.0,50.0,2,48.5,134.0,195.6,237.8,268.5,297.5,327.6,338.5
53,338.5,366.4,75.6,498,161,223072.0,8,77.5,15.0,5.0,50.0,0.0,5.0,50.0,2,48.5,134.0,195.6,237.8,268.5,297.5,327.6,338.5
54,280.1,366.4,71.0,468,191,184575.0,7,75.0,14.0,0.0,75.0,0.0,10.0,50.0,2,38.2,103.1,153.5,188.6,219.3,247.2,272.1,280.1
55,294.7,366.4,71.8,473,186,194185.0,6,70.0,13.0,15.0,50.0,2.0,5.0,75.0,3,49.0,114.0,170.6,205.5,235.1,259.9,284.0,294.7
56,202.4,366.4,65.9,434,225,133385.0,8,80.0,15.0,10.0,50.0,10.0,5.0,50.0,2,50.1,108.2,134.7,149.1,162.6,177.3,194.8,202.4
57,249.1,366.4,67.8,447,212,164154.0,7,72.5,14.0,5.0,75.0,4.0,10.0,150.0,4,41.6,104.2,148.0,173.2,198.6,220.1,244.9,249.1
58,268.5,366.4,74.4,490,169,176939.0,8,80.0,13.0,0.0,25.0,2.0,5.0,75.0,3,49.7,113.3,163.3,190.6,218.7,238.0,257.3,268.5
59,320.0,366.4,76.8,506,153,210872.0,9,75.0,15.0,10.0,50.0,0.0,10.0,50.0,2,47.6,125.7,181.8,221.0,253.5,283.3,310.8,320.0
60,263.8,366.4,69.5,458,201,173874.0,6,77.5,14.0,5.0,75.0,2.0,20.0,75.0,4,46.4,108.8,156.2,180.1,210.4,239.2,265.1,263.8
61,145.3,366.4,58.4,385,274,95726.0,7,77.5,13.0,0.0,150.0,14.0,10.0,50.0,3,9.6,55.6,84.3,93.8,108.0,128.0,137.7,145.3
62,338.5,366.4,75.6,498,161,223072.0,8,77.5,15.0,5.0,50.0,0.0,5.0,50.0,2,48.5,134.0,195.6,237.8,268.5,297.5,327.6,338.5
63,339.1,366.4,75.7,499,160,223444.0,8,75.0,15.0,5.0,50.0,0.0,5.0,50.0,2,48.8,134.8,196.8,239.0,269.5,297.8,327.9,339.1
64,307.6,366.4,73.0,481,178,202689.0,8,72.5,14.0,10.0,50.0,2.0,5.0,50.0,2,49.4,124.0,183.2,218.8,247.4,271.0,296.6,307.6
65,339.4,366.4,76.9,507,152,223667.0,7,75.0,15.0,5.0,50.0,0.0,10.0,50.0,3,53.3,133.4,192.1,233.4,267.0,300.0,330.1,339.4
66,242.4,366.4,72.7,479,180,159711.0,7,75.0,12.0,0.0,25.0,2.0,10.0,75.0,3,50.5,106.8,148.7,174.2,201.1,218.9,235.4,242.4
67,364.4,366.4,75.3,496,163,240134.0,6,70.0,13.0,15.0,50.0,0.0,5.0,50.0,4,53.6,142.8,210.5,256.9,288.0,320.1,353.1,364.4
68,248.4,366.4,69.0,455,204,163700.0,6,67.5,13.0,15.0,75.0,2.0,10.0,50.0,4,29.9,81.4,129.6,161.1,192.0,220.7,242.9,248.4
69,240.6,366.4,73.0,481,178,158552.0,5,65.0,11.0,15.0,25.0,0.0,25.0,75.0,4,49.6,93.5,136.0,165.8,197.4,220.7,238.3,240.6
70,400.9,400.9,74.8,493,166,264206.0,6,70.0,14.0,10.0,50.0,2.0,5.0,50.0,10,58.8,162.0,236.5,280.6,319.7,350.8,386.4,400.9
71,339.5,400.9,73.7,486,173,223744.0,5,67.5,9.0,10.0,50.0,2.0,5.0,75.0,10,55.2,133.9,196.6,234.0,270.7,296.4,328.4,339.5
72,413.7,413.7,75.3,496,163,272630.0,5,67.5,7.0,10.0,50.0,2.0,5.0,50.0,10,62.8,164.8,244.9,288.1,333.0,364.5,399.0,413.7
73,327.2,413.7,71.8,473,186,215653.0,5,67.5,6.0,15.0,50.0,2.0,35.0,50.0,9,66.6,147.4,203.9,235.7,271.2,296.2,323.4,327.2
74,377.5,413.7,73.1,482,177,248740.0,6,70.0,7.0,10.0,50.0,4.0,5.0,50.0,10,62.2,158.9,223.3,261.8,293.3,327.1,364.0,377.5
75,369.8,413.7,72.7,479,180,243688.0,6,70.0,7.0,10.0,50.0,4.0,5.0,50.0,9,61.7,153.5,215.4,254.1,285.9,320.1,357.5,369.8
76,319.2,413.7,73.4,484,175,210341.0,6,70.0,7.0,10.0,25.0,4.0,5.0,50.0,10,61.6,140.2,193.3,225.5,251.8,278.4,306.6,319.2
77,298.6,413.7,70.4,464,195,196781.0,5,65.0,8.0,15.0,50.0,6.0,15.0,50.0,10,61.3,135.6,190.9,212.8,243.2,266.1,293.2,298.6
78,312.6,413.7,72.7,479,180,206024.0,6,70.0,7.0,10.0,25.0,4.0,5.0,50.0,9,61.0,135.7,186.4,218.6,245.3,272.3,301.1,312.6
79,278.2,413.7,69.0,455,204,183352.0,6,70.0,8.0,10.0,75.0,6.0,5.0,75.0,9,49.5,119.1,168.3,189.7,216.1,241.9,271.2,278.2
80,353.8,413.7,71.8,473,186,233128.0,5,65.0,6.0,20.0,50.0,4.0,10.0,50.0,10,61.5,146.3,205.0,242.2,283.5,312.0,344.8,353.8
81,245.9,413.7,69.0,455,204,162067.0,6,67.5,6.0,10.0,50.0,8.0,5.0,75.0,10,55.0,120.2,152.5,166.0,192.6,214.8,238.2,245.9
82,347.7,413.7,71.3,470,189,229133.0,5,62.5,5.0,20.0,50.0,4.0,10.0,50.0,10,56.9,140.3,198.3,234.4,277.2,305.4,337.0,347.7
83,363.8,413.7,72.8,480,179,239721.0,5,65.0,7.0,25.0,50.0,4.0,5.0,50.0,9,60.9,144.9,205.3,242.3,278.6,314.4,350.7,363.8
84,303.2,413.7,69.3,457,202,199819.0,6,62.5,7.0,30.0,50.0,6.0,5.0,50.0,8,55.2,132.3,181.0,204.6,235.4,264.2,293.6,303.2
85,408.5,413.7,75.0,494,165,269187.0,5,67.5,8.0,25.0,50.0,2.0,5.0,50.0,9,62.6,161.3,237.8,282.3,327.2,360.2,394.6,408.5
86,287.5,413.7,72.1,475,184,189486.0,5,67.5,8.0,25.0,50.0,2.0,5.0,200.0,9,48.5,109.5,165.2,199.0,228.9,253.7,276.5,287.5
87,301.0,413.7,72.2,476,183,198361.0,5,70.0,5.0,25.0,50.0,4.0,50.0,50.0,9,66.5,143.6,193.6,220.7,251.6,278.2,296.4,301.0
88,206.6,413.7,63.3,417,242,136173.0,5,67.5,9.0,30.0,75.0,4.0,10.0,50.0,9,17.7,58.3,101.0,125.7,158.6,177.4,201.6,206.6
89,280.4,413.7,71.9,474,185,184814.0,6,65.0,7.0,25.0,50.0,2.0,5.0,175.0,8,48.1,104.1,160.2,192.8,220.4,246.2,268.9,280.4
90,319.5,413.7,70.7,466,193,210549.0,5,70.0,8.0,25.0,50.0,6.0,10.0,50.0,10,62.6,152.7,205.0,233.2,261.9,287.9,310.9,319.5
91,352.9,413.7,74.7,492,167,232570.0,6,72.5,6.0,20.0,25.0,2.0,5.0,50.0,8,61.9,150.4,212.6,250.8,286.5,312.4,340.2,352.9
92,442.0,442.0,76.8,506,153,291268.0,5,67.5,7.0,15.0,50.0,0.0,5.0,50.0,10,62.6,171.9,255.4,306.7,350.9,387.1,425.7,442.0
93,291.8,442.0,72.4,477,182,192285.0,5,67.5,7.0,15.0,50.0,2.0,5.0,150.0,10,48.1,113.1,172.2,205.1,233.6,259.0,281.3,291.8
94,418.7,442.0,76.6,505,154,275931.0,5,65.0,8.0,15.0,50.0,0.0,5.0,50.0,9,60.2,162.1,238.6,287.2,330.4,365.1,403.0,418.7
95,360.4,442.0,73.0,481,178,237509.0,5,65.0,9.0,15.0,50.0,4.0,5.0,50.0,9,60.0,145.2,205.3,240.8,276.5,310.6,347.5,360.4
96,423.2,442.0,76.6,505,154,278904.0,5,62.5,8.0,15.0,50.0,0.0,5.0,50.0,10,59.0,162.2,240.7,289.2,334.3,368.1,405.8,423.2
97,423.2,442.0,76.6,505,154,278904.0,5,62.5,8.0,15.0,50.0,0.0,5.0,50.0,10,59.0,162.2,240.7,289.2,334.3,368.1,405.8,423.2
98,401.1,442.0,77.4,510,149,264315.0,5,60.0,8.0,15.0,50.0,0.0,10.0,50.0,10,56.1,148.7,217.1,264.9,312.6,351.7,389.7,401.1
99,401.1,442.0,77.4,510,149,264315.0,5,60.0,8.0,15.0,50.0,0.0,10.0,50.0,10,56.1,148.7,217.1,264.9,312.6,351.7,389.7,401.1
100,325.6,442.0,74.7,492,167,214567.0,5,60.0,8.0,15.0,50.0,0.0,15.0,75.0,10,54.5,125.0,181.4,218.1,261.9,292.1,322.2,325.6
101,195.1,442.0,62.8,414,245,128552.0,5,60.0,8.0,15.0,75.0,0.0,10.0,50.0,10,14.1,44.0,82.7,111.2,143.1,168.3,189.1,195.1
102,423.0,442.0,76.6,505,154,278731.0,5,62.5,9.0,20.0,50.0,0.0,5.0,50.0,10,58.7,162.2,240.9,289.5,334.7,368.2,405.5,423.0
103,402.4,442.0,77.1,508,151,265203.0,5,62.5,10.0,20.0,50.0,0.0,10.0,50.0,10,55.1,149.6,217.8,266.3,313.3,351.9,388.9,402.4
104,402.4,442.0,77.1,508,151,265203.0,5,62.5,10.0,20.0,50.0,0.0,10.0,50.0,10,55.1,149.6,217.8,266.3,313.3,351.9,388.9,402.4
105,401.2,442.0,76.8,506,153,264421.0,5,62.5,9.0,20.0,50.0,0.0,10.0,50.0,10,55.2,148.4,216.7,265.2,312.6,351.1,387.8,401.2
106,390.4,442.0,74.4,490,169,257246.0,5,62.5,10.0,20.0,50.0,0.0,15.0,50.0,10,57.6,151.2,221.4,266.6,310.4,348.6,382.4,390.4
107,320.8,442.0,75.6,498,161,211434.0,5,62.5,9.0,20.0,50.0,0.0,10.0,125.0,10,46.5,114.9,174.9,214.7,248.1,280.6,311.3,320.8
108,401.2,442.0,76.8,506,153,264421.0,5,62.5,9.0,20.0,50.0,0.0,10.0,50.0,10,55.2,148.4,216.7,265.2,312.6,351.1,387.8,401.2
109,351.9,442.0,79.2,522,137,231934.0,5,62.5,10.0,20.0,25.0,0.0,10.0,50.0,10,52.7,134.6,193.3,235.9,276.3,308.6,338.5,351.9
110,331.5,442.0,73.9,487,172,218489.0,5,62.5,9.0,20.0,50.0,0.0,15.0,75.0,10,54.3,126.3,185.5,223.2,266.5,296.9,326.9,331.5
111,107.4,442.0,54.8,361,298,70773.0,5,62.5,10.0,20.0,125.0,0.0,10.0,50.0,9,-0.4,11.6,34.8,52.3,75.7,91.4,101.4,107.4
112,400.1,442.0,77.5,511,148,263684.0,5,60.0,9.0,20.0,50.0,0.0,10.0,50.0,10,55.7,148.1,216.2,264.1,311.8,351.1,388.7,400.1
