Price,Close,High,Low,Open,Volume,Date
2025-12-29 09:30:00+00:00,48995.0,48995.0,48990.0,48990.0,6,2025-12-29
2025-12-29 09:31:00+00:00,48993.0,48994.0,48990.0,48992.0,7,2025-12-29
2025-12-29 09:32:00+00:00,48991.0,48991.0,48986.0,48986.0,5,2025-12-29
2025-12-29 09:33:00+00:00,48992.0,48993.0,48992.0,48993.0,4,2025-12-29
2025-12-29 09:34:00+00:00,48991.0,48991.0,48991.0,48991.0,1,2025-12-29
2025-12-29 09:35:00+00:00,48991.0,48991.0,48990.0,48991.0,10,2025-12-29
2025-12-29 09:36:00+00:00,48996.0,48997.0,48990.0,48992.0,28,2025-12-29
2025-12-29 09:37:00+00:00,48994.0,48997.0,48992.0,48997.0,21,2025-12-29
2025-12-29 09:38:00+00:00,48996.0,48997.0,48992.0,48997.0,18,2025-12-29
2025-12-29 09:39:00+00:00,48998.0,48998.0,48997.0,48997.0,4,2025-12-29
2025-12-29 09:40:00+00:00,48996.0,48999.0,48995.0,48999.0,14,2025-12-29
2025-12-29 09:41:00+00:00,48991.0,48994.0,48991.0,48994.0,3,2025-12-29
2025-12-29 09:42:00+00:00,48995.0,48995.0,48992.0,48992.0,6,2025-12-29
2025-12-29 09:43:00+00:00,48995.0,48996.0,48994.0,48994.0,8,2025-12-29
2025-12-29 09:44:00+00:00,48992.0,48992.0,48992.0,48992.0,1,2025-12-29
2025-12-29 09:45:00+00:00,48989.0,48992.0,48989.0,48992.0,14,2025-12-29
2025-12-29 09:46:00+00:00,48990.0,48991.0,48990.0,48990.0,5,2025-12-29
2025-12-29 09:47:00+00:00,48990.0,48992.0,48990.0,48992.0,3,2025-12-29
2025-12-29 09:48:00+00:00,48992.0,48992.0,48988.0,48989.0,16,2025-12-29
2025-12-29 09:49:00+00:00,48994.0,48995.0,48992.0,48992.0,7,2025-12-29
2025-12-29 09:50:00+00:00,48998.0,48998.0,48992.0,48992.0,14,2025-12-29
2025-12-29 09:51:00+00:00,49000.0,49000.0,48998.0,48998.0,20,2025-12-29
2025-12-29 09:52:00+00:00,49007.0,49009.0,48999.0,48999.0,24,2025-12-29
2025-12-29 09:53:00+00:00,49006.0,49008.0,49005.0,49006.0,9,2025-12-29
2025-12-29 09:54:00+00:00,49005.0,49006.0,49004.0,49004.0,6,2025-12-29
2025-12-29 09:55:00+00:00,49000.0,49004.0,49000.0,49004.0,7,2025-12-29
2025-12-29 09:56:00+00:00,49000.0,49000.0,49000.0,49000.0,3,2025-12-29
2025-12-29 09:57:00+00:00,49002.0,49004.0,49001.0,49002.0,7,2025-12-29
2025-12-29 09:58:00+00:00,49004.0,49004.0,49002.0,49003.0,19,2025-12-29
2025-12-29 09:59:00+00:00,49006.0,49006.0,49004.0,49004.0,5,2025-12-29
2025-12-29 10:00:00+00:00,49007.0,49007.0,49004.0,49006.0,9,2025-12-29
