Price,Close,High,Low,Open,Volume,Date
2026-01-12 09:30:00+00:00,49345.0,49346.0,49343.0,49343.0,33,2026-01-13
2026-01-12 09:31:00+00:00,49347.0,49349.0,49345.0,49345.0,21,2026-01-13
2026-01-12 09:32:00+00:00,49351.0,49353.0,49348.0,49349.0,17,2026-01-13
2026-01-12 09:33:00+00:00,49352.0,49352.0,49348.0,49348.0,11,2026-01-13
2026-01-12 09:34:00+00:00,49350.0,49355.0,49350.0,49353.0,18,2026-01-13
2026-01-12 09:35:00+00:00,49346.0,49352.0,49345.0,49352.0,29,2026-01-13
2026-01-12 09:36:00+00:00,49341.0,49345.0,49340.0,49345.0,12,2026-01-13
2026-01-12 09:37:00+00:00,49340.0,49342.0,49340.0,49341.0,11,2026-01-13
2026-01-12 09:38:00+00:00,49349.0,49351.0,49344.0,49345.0,18,2026-01-13
2026-01-12 09:39:00+00:00,49349.0,49351.0,49348.0,49348.0,33,2026-01-13
2026-01-12 09:40:00+00:00,49353.0,49355.0,49349.0,49349.0,29,2026-01-13
2026-01-12 09:41:00+00:00,49358.0,49361.0,49352.0,49352.0,51,2026-01-13
2026-01-12 09:42:00+00:00,49361.0,49362.0,49359.0,49360.0,8,2026-01-13
2026-01-12 09:43:00+00:00,49358.0,49366.0,49358.0,49365.0,21,2026-01-13
2026-01-12 09:44:00+00:00,49357.0,49361.0,49357.0,49358.0,19,2026-01-13
2026-01-12 09:45:00+00:00,49356.0,49357.0,49353.0,49356.0,13,2026-01-13
2026-01-12 09:46:00+00:00,49358.0,49358.0,49354.0,49355.0,19,2026-01-13
2026-01-12 09:47:00+00:00,49356.0,49357.0,49355.0,49356.0,5,2026-01-13
2026-01-12 09:48:00+00:00,49356.0,49357.0,49355.0,49355.0,15,2026-01-13
2026-01-12 09:49:00+00:00,49360.0,49361.0,49355.0,49355.0,13,2026-01-13
2026-01-12 09:50:00+00:00,49366.0,49369.0,49359.0,49360.0,26,2026-01-13
2026-01-12 09:51:00+00:00,49368.0,49368.0,49365.0,49366.0,20,2026-01-13
2026-01-12 09:52:00+00:00,49365.0,49368.0,49362.0,49367.0,16,2026-01-13
2026-01-12 09:53:00+00:00,49364.0,49367.0,49364.0,49366.0,20,2026-01-13
2026-01-12 09:54:00+00:00,49383.0,49383.0,49366.0,49366.0,81,2026-01-13
2026-01-12 09:55:00+00:00,49379.0,49384.0,49375.0,49384.0,49,2026-01-13
2026-01-12 09:56:00+00:00,49384.0,49384.0,49378.0,49378.0,35,2026-01-13
2026-01-12 09:57:00+00:00,49388.0,49388.0,49382.0,49386.0,19,2026-01-13
2026-01-12 09:58:00+00:00,49385.0,49389.0,49385.0,49389.0,38,2026-01-13
2026-01-12 09:59:00+00:00,49381.0,49383.0,49381.0,49383.0,10,2026-01-13
2026-01-12 10:00:00+00:00,49381.0,49383.0,49381.0,49383.0,13,2026-01-13
