Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-01-28 09:30:00-05:00,49181.0,49258.0,49162.0,49258.0,2344,0.0,0.0
2026-01-28 09:31:00-05:00,49256.0,49287.0,49244.0,49276.0,1161,0.0,0.0
2026-01-28 09:32:00-05:00,49276.0,49290.0,49156.0,49168.0,1147,0.0,0.0
2026-01-28 09:33:00-05:00,49166.0,49216.0,49164.0,49212.0,807,0.0,0.0
2026-01-28 09:34:00-05:00,49211.0,49221.0,49195.0,49221.0,515,0.0,0.0
2026-01-28 09:35:00-05:00,49219.0,49270.0,49215.0,49258.0,518,0.0,0.0
2026-01-28 09:36:00-05:00,49257.0,49258.0,49226.0,49231.0,444,0.0,0.0
2026-01-28 09:37:00-05:00,49230.0,49233.0,49202.0,49210.0,287,0.0,0.0
2026-01-28 09:38:00-05:00,49212.0,49218.0,49181.0,49192.0,412,0.0,0.0
2026-01-28 09:39:00-05:00,49194.0,49200.0,49156.0,49191.0,345,0.0,0.0
2026-01-28 09:40:00-05:00,49192.0,49202.0,49160.0,49160.0,452,0.0,0.0
2026-01-28 09:41:00-05:00,49161.0,49191.0,49161.0,49166.0,272,0.0,0.0
2026-01-28 09:42:00-05:00,49166.0,49185.0,49152.0,49182.0,385,0.0,0.0
2026-01-28 09:43:00-05:00,49182.0,49182.0,49154.0,49154.0,194,0.0,0.0
2026-01-28 09:44:00-05:00,49155.0,49184.0,49138.0,49160.0,318,0.0,0.0
2026-01-28 09:45:00-05:00,49164.0,49194.0,49160.0,49171.0,277,0.0,0.0
2026-01-28 09:46:00-05:00,49172.0,49195.0,49152.0,49193.0,311,0.0,0.0
2026-01-28 09:47:00-05:00,49193.0,49194.0,49161.0,49169.0,222,0.0,0.0
2026-01-28 09:48:00-05:00,49171.0,49190.0,49162.0,49190.0,240,0.0,0.0
2026-01-28 09:49:00-05:00,49192.0,49192.0,49160.0,49161.0,194,0.0,0.0
2026-01-28 09:50:00-05:00,49162.0,49164.0,49130.0,49139.0,353,0.0,0.0
2026-01-28 09:51:00-05:00,49141.0,49142.0,49113.0,49127.0,335,0.0,0.0
2026-01-28 09:52:00-05:00,49130.0,49151.0,49127.0,49150.0,208,0.0,0.0
2026-01-28 09:53:00-05:00,49155.0,49158.0,49131.0,49134.0,197,0.0,0.0
2026-01-28 09:54:00-05:00,49133.0,49157.0,49119.0,49153.0,285,0.0,0.0
2026-01-28 09:55:00-05:00,49150.0,49152.0,49128.0,49147.0,199,0.0,0.0
2026-01-28 09:56:00-05:00,49148.0,49160.0,49142.0,49154.0,214,0.0,0.0
2026-01-28 09:57:00-05:00,49153.0,49168.0,49150.0,49160.0,259,0.0,0.0
2026-01-28 09:58:00-05:00,49162.0,49162.0,49138.0,49145.0,208,0.0,0.0
2026-01-28 09:59:00-05:00,49144.0,49155.0,49135.0,49141.0,181,0.0,0.0
2026-01-28 10:00:00-05:00,49143.0,49145.0,49124.0,49134.0,245,0.0,0.0
