Timestamp,High,Low,Close
2026-01-01 23:01:00-05:00,48396,48355,48391
2026-01-01 23:02:00-05:00,48388,48360,48361
2026-01-01 23:03:00-05:00,48375,48359,48373
2026-01-01 23:04:00-05:00,48376,48367,48371
2026-01-01 23:05:00-05:00,48374,48360,48369
2026-01-01 23:06:00-05:00,48377,48368,48376
2026-01-01 23:07:00-05:00,48387,48372,48381
2026-01-01 23:08:00-05:00,48389,48378,48382
2026-01-01 23:09:00-05:00,48390,48383,48385
2026-01-01 23:10:00-05:00,48390,48385,48385
2026-01-01 23:11:00-05:00,48397,48390,48397
2026-01-01 23:12:00-05:00,48401,48393,48397
2026-01-01 23:13:00-05:00,48403,48397,48403
2026-01-01 23:14:00-05:00,48408,48398,48398
2026-01-01 23:15:00-05:00,48400,48394,48399
2026-01-01 23:16:00-05:00,48414,48400,48410
2026-01-01 23:17:00-05:00,48414,48410,48412
2026-01-01 23:18:00-05:00,48412,48410,48412
2026-01-01 23:19:00-05:00,48412,48409,48409
2026-01-01 23:20:00-05:00,48413,48406,48407
2026-01-01 23:21:00-05:00,48408,48406,48408
2026-01-01 23:22:00-05:00,48412,48409,48412
2026-01-01 23:23:00-05:00,48414,48409,48409
2026-01-01 23:24:00-05:00,48410,48408,48410
2026-01-01 23:25:00-05:00,48411,48410,48411
2026-01-01 23:26:00-05:00,48413,48412,48412
2026-01-01 23:27:00-05:00,48419,48414,48415
2026-01-01 23:28:00-05:00,48416,48416,48416
2026-01-01 23:29:00-05:00,48408,48408,48408
2026-01-01 23:30:00-05:00,48409,48407,48408
2026-01-01 23:31:00-05:00,48407,48400,48400
2026-01-01 23:32:00-05:00,48412,48400,48412
2026-01-01 23:33:00-05:00,48421,48412,48421
2026-01-01 23:34:00-05:00,48424,48417,48417
2026-01-01 23:35:00-05:00,48420,48419,48420
2026-01-01 23:36:00-05:00,48428,48421,48426
2026-01-01 23:37:00-05:00,48426,48422,48426
2026-01-01 23:38:00-05:00,48424,48421,48421
2026-01-01 23:39:00-05:00,48424,48423,48423
2026-01-01 23:40:00-05:00,48423,48420,48420
2026-01-01 23:41:00-05:00,48419,48414,48417
2026-01-01 23:42:00-05:00,48415,48411,48411
2026-01-01 23:43:00-05:00,48412,48409,48412
2026-01-01 23:44:00-05:00,48413,48410,48411
2026-01-01 23:45:00-05:00,48411,48409,48409
2026-01-01 23:46:00-05:00,48415,48410,48415
2026-01-01 23:47:00-05:00,48420,48416,48416
2026-01-01 23:48:00-05:00,48416,48409,48409
2026-01-01 23:49:00-05:00,48411,48409,48409
2026-01-01 23:50:00-05:00,48410,48409,48409
2026-01-01 23:51:00-05:00,48413,48410,48413
2026-01-01 23:52:00-05:00,48409,48409,48409
2026-01-01 23:53:00-05:00,48408,48405,48406
2026-01-01 23:54:00-05:00,48408,48408,48408
2026-01-01 23:55:00-05:00,48408,48408,48408
2026-01-01 23:57:00-05:00,48405,48404,48405
2026-01-01 23:58:00-05:00,48404,48404,48404
2026-01-01 23:59:00-05:00,48406,48404,48406
